sku,name,type,categories,brand,price,stock_status,manage_stock,image_file,authorized_image_url,source_url,source_stock,source_page,notes
CERA-ACAB,ACAB,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-ACAB.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1.ACAB_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/acab/,instock,1,Imagen autorizada por proveedor
CERA-AKIRA,AKIRA,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-AKIRA.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1.AKIRA_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/akira/,instock,1,Imagen autorizada por proveedor
CERA-BLING,BLING,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-BLING.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_Bling_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/bling/,instock,1,Imagen autorizada por proveedor
CERA-CLIQUE,CLIQUE,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-CLIQUE.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1.CLIQUE_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/clique/,instock,1,Imagen autorizada por proveedor
CERA-DOJO,DOJO,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-DOJO.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_DOJO_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/dojo/,instock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-CARIBES,Hand Mixed Caribes,simple,Ceras,Hand Mixed,13.15,instock,0,data/images/ceras/CERA-HAND-MIXED-CARIBES.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Caribes_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-caribes/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-CHERNOBYL,Hand Mixed Chernobyl,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-CHERNOBYL.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Chernobyl_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-chernobyl/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-EDITION-CLASSIC-6D,Hand Mixed Edition Classic 6D,simple,Ceras,Hand Mixed,13.15,instock,0,data/images/ceras/CERA-HAND-MIXED-EDITION-CLASSIC-6D.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Edition-Classic-6D_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-edition-classic-6d/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-EDITION-CLASSIC-8D,Hand Mixed Edition Classic 8D,simple,Ceras,Hand Mixed,13.15,instock,0,data/images/ceras/CERA-HAND-MIXED-EDITION-CLASSIC-8D.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Edition-Classic-8D_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-edition-classic-8d/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-MARLEY,Hand Mixed Marley,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-MARLEY.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Marley_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-marley/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-ATACAMA,Hand Mixed Pro Atacama,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-ATACAMA.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Atacama_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-atacama/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-CALIFORNIA,Hand Mixed Pro California,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-CALIFORNIA.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-California_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-california/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-CHILEAN,Hand Mixed Pro Chilean,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-CHILEAN.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Chilean_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-chilean/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-DUBLIN,Hand Mixed Pro Dublin,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-DUBLIN.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Dublin_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-dublin/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-FRUIT-SALAD,Hand Mixed Pro Fruit Salad,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-FRUIT-SALAD.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Fruit-Salad_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-fruit-salad/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-ICECREAM,Hand Mixed Pro Icecream,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-ICECREAM.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Icecream_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-icecream/,outofstock,1,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-KUSH,Hand Mixed Pro Kush,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-KUSH.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Kush_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-kush/,outofstock,2,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-LIMA,Hand Mixed Pro Lima,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-LIMA.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Lima_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-lima/,outofstock,2,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-MAASAI,Hand Mixed Pro Maasai,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-MAASAI.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Maasai_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-maasai/,outofstock,2,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-MAPUCHE,Hand Mixed Pro Mapuche,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-MAPUCHE.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Mapuche_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-mapuche/,outofstock,2,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-MINT,Hand Mixed Pro Mint,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-MINT.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Mint_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-mint/,outofstock,2,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-NIGERIAN,Hand Mixed Pro Nigerian,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-NIGERIAN.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Nigerian_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-nigerian/,outofstock,2,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-PATAGONIA,Hand Mixed Pro Patagonia,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-PATAGONIA.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Patagonia_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-patagonia/,outofstock,2,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-PIRINEUS,Hand Mixed Pro Pirineus,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-PIRINEUS.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Pirineus_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-pirineus/,outofstock,2,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-VENYASON,Hand Mixed Pro Venyason,simple,Ceras,Hand Mixed,13.15,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-VENYASON.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-Venyason_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-venyason/,outofstock,2,Imagen autorizada por proveedor
CERA-HAND-MIXED-PRO-XL,Hand Mixed Pro XL,simple,Ceras,Hand Mixed,13.95,instock,0,data/images/ceras/CERA-HAND-MIXED-PRO-XL.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Pro-XL_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-pro-xl/,outofstock,2,Imagen autorizada por proveedor
CERA-HAND-MIXED-SAKURA,Hand Mixed Sakura,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-SAKURA.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Sakura_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/hand-mixed-sakura/,instock,2,Imagen autorizada por proveedor
CERA-HAND-MIXED-WICKED-WITD,Hand Mixed Wicked Witd,simple,Ceras,Hand Mixed,11.95,instock,0,data/images/ceras/CERA-HAND-MIXED-WICKED-WITD.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Hand-Mixed-Wicked-WitdDetalledf-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/hand-mixed-wicked-witd/,outofstock,2,Imagen autorizada por proveedor
CERA-KOBE,KOBE,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-KOBE.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_KOBE_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/kobe/,instock,2,Imagen autorizada por proveedor
CERA-LORAX,LORAX,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-LORAX.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_LORAX_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/lorax/,instock,2,Imagen autorizada por proveedor
CERA-POLAR,POLAR,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-POLAR.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_POLAR_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/polar/,instock,2,Imagen autorizada por proveedor
CERA-RAVEN,RAVEN,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-RAVEN.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_RAVEN_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/raven/,instock,2,Imagen autorizada por proveedor
CERA-REUNITED,REUNITED,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-REUNITED.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_REUNITED_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/reunited/,instock,3,Imagen autorizada por proveedor
CERA-RIO,RIO,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-RIO.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_RIO_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/rio/,instock,3,Imagen autorizada por proveedor
CERA-SAKURA-SOLID-MARKER-ORIGINAL,Sakura solid Marker Original,simple,Ceras,,5.90,instock,0,data/images/ceras/CERA-SAKURA-SOLID-MARKER-ORIGINAL.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Sakura-solid-Marker-Original_Producto-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/sakura-solid-marker-original/,instock,3,Imagen autorizada por proveedor
CERA-SKOOL,SKOOL,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-SKOOL.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_SKOOL_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/skool/,instock,3,Imagen autorizada por proveedor
CERA-SOLID-COMBO-241-ACAB-CREAM,Solid Combo 241 Acab Cream,simple,Ceras,,11.95,instock,0,data/images/ceras/CERA-SOLID-COMBO-241-ACAB-CREAM.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Solid-Combo-241-Acab-Cream_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/solid-combo-241-acab-cream/,outofstock,3,Imagen autorizada por proveedor
CERA-SOLID-COMBO-241-FROZEN-CREAM,Solid Combo 241 Frozen Cream,simple,Ceras,,11.95,instock,0,data/images/ceras/CERA-SOLID-COMBO-241-FROZEN-CREAM.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Solid-Combo-241-Frozen-Cream_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/solid-combo-241-frozen-cream/,outofstock,3,Imagen autorizada por proveedor
CERA-SOLID-COMBO-241-MAGIC-CREAM,Solid Combo 241 Magic Cream,simple,Ceras,,11.95,instock,0,data/images/ceras/CERA-SOLID-COMBO-241-MAGIC-CREAM.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Solid-Combo-241-Magic-Cream_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/solid-combo-241-magic-cream/,instock,3,Imagen autorizada por proveedor
CERA-SOLID-COMBO-241-PAPAYA-CREAM,Solid Combo 241 Papaya Cream,simple,Ceras,,11.95,instock,0,data/images/ceras/CERA-SOLID-COMBO-241-PAPAYA-CREAM.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Solid-Combo-241-Papaya-Cream_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/solid-combo-241-papaya-cream/,outofstock,3,Imagen autorizada por proveedor
CERA-SOLID-COMBO-241-SINTRA-CREAM,Solid Combo 241 Sintra Cream,simple,Ceras,,11.95,instock,0,data/images/ceras/CERA-SOLID-COMBO-241-SINTRA-CREAM.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Solid-Combo-241-Sintra-Cream_Detalle-300x300.png,https://iborgraffitishop.com/rotuladores/solid-combo-241-sintra-cream/,instock,3,Imagen autorizada por proveedor
CERA-SOLIDOS-BY-SOLID-COMBO,Sólidos by Solid Combo,simple,Ceras,,5.50,instock,0,data/images/ceras/CERA-SOLIDOS-BY-SOLID-COMBO.png,https://iborgraffitishop.com/wp-content/uploads/2026/01/1.Solidos-by-Solid-Combo_Producto-300x300.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/solidos-by-solid-combo/,instock,3,Imagen autorizada por proveedor
CERA-SONIC,SONIC,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-SONIC.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_SONIC_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/sonic/,instock,3,Imagen autorizada por proveedor
CERA-SPIKE,SPIKE,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-SPIKE.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_SPIKE_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/spike/,instock,3,Imagen autorizada por proveedor
CERA-TIRONE,TIRONE,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-TIRONE.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_TIRONE_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/tirone/,instock,3,Imagen autorizada por proveedor
CERA-VOID,VOID,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-VOID.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_VOID_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/void/,instock,3,Imagen autorizada por proveedor
CERA-WAVE,WAVE,simple,Ceras,,8.50,instock,0,data/images/ceras/CERA-WAVE.png,https://iborgraffitishop.com/wp-content/uploads/2026/03/1_WAVE_Detalle-650x650.png,https://iborgraffitishop.com/rotuladores/ceras-de-colores/wave/,instock,3,Imagen autorizada por proveedor
