"Type","SKU","Name","Published","Visibility in catalog","Regular price","Categories","In stock?","Manage stock?","Images","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
"simple","CERA-ACAB","ACAB","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-ACAB.png","Marca","","0","0"
"simple","CERA-AKIRA","AKIRA","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-AKIRA.png","Marca","","0","0"
"simple","CERA-BLING","BLING","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-BLING.png","Marca","","0","0"
"simple","CERA-CLIQUE","CLIQUE","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-CLIQUE.png","Marca","","0","0"
"simple","CERA-DOJO","DOJO","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-DOJO.png","Marca","","0","0"
"simple","CERA-HAND-MIXED-CARIBES","Hand Mixed Caribes","1","visible","13.15","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-CARIBES.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-CHERNOBYL","Hand Mixed Chernobyl","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-CHERNOBYL.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-EDITION-CLASSIC-6D","Hand Mixed Edition Classic 6D","1","visible","13.15","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-EDITION-CLASSIC-6D.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-EDITION-CLASSIC-8D","Hand Mixed Edition Classic 8D","1","visible","13.15","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-EDITION-CLASSIC-8D.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-MARLEY","Hand Mixed Marley","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-MARLEY.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-ATACAMA","Hand Mixed Pro Atacama","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-ATACAMA.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-CALIFORNIA","Hand Mixed Pro California","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-CALIFORNIA.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-CHILEAN","Hand Mixed Pro Chilean","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-CHILEAN.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-DUBLIN","Hand Mixed Pro Dublin","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-DUBLIN.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-FRUIT-SALAD","Hand Mixed Pro Fruit Salad","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-FRUIT-SALAD.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-ICECREAM","Hand Mixed Pro Icecream","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-ICECREAM.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-KUSH","Hand Mixed Pro Kush","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-KUSH.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-LIMA","Hand Mixed Pro Lima","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-LIMA.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-MAASAI","Hand Mixed Pro Maasai","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-MAASAI.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-MAPUCHE","Hand Mixed Pro Mapuche","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-MAPUCHE.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-MINT","Hand Mixed Pro Mint","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-MINT.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-NIGERIAN","Hand Mixed Pro Nigerian","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-NIGERIAN.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-PATAGONIA","Hand Mixed Pro Patagonia","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-PATAGONIA.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-PIRINEUS","Hand Mixed Pro Pirineus","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-PIRINEUS.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-VENYASON","Hand Mixed Pro Venyason","1","visible","13.15","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-VENYASON.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-PRO-XL","Hand Mixed Pro XL","1","visible","13.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-PRO-XL.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-SAKURA","Hand Mixed Sakura","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-SAKURA.png","Marca","Hand Mixed","1","0"
"simple","CERA-HAND-MIXED-WICKED-WITD","Hand Mixed Wicked Witd","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-HAND-MIXED-WICKED-WITD.png","Marca","Hand Mixed","1","0"
"simple","CERA-KOBE","KOBE","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-KOBE.png","Marca","","0","0"
"simple","CERA-LORAX","LORAX","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-LORAX.png","Marca","","0","0"
"simple","CERA-POLAR","POLAR","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-POLAR.png","Marca","","0","0"
"simple","CERA-RAVEN","RAVEN","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-RAVEN.png","Marca","","0","0"
"simple","CERA-REUNITED","REUNITED","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-REUNITED.png","Marca","","0","0"
"simple","CERA-RIO","RIO","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-RIO.png","Marca","","0","0"
"simple","CERA-SAKURA-SOLID-MARKER-ORIGINAL","Sakura solid Marker Original","1","visible","5.90","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-SAKURA-SOLID-MARKER-ORIGINAL.png","Marca","","0","0"
"simple","CERA-SKOOL","SKOOL","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-SKOOL.png","Marca","","0","0"
"simple","CERA-SOLID-COMBO-241-ACAB-CREAM","Solid Combo 241 Acab Cream","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-SOLID-COMBO-241-ACAB-CREAM.png","Marca","","0","0"
"simple","CERA-SOLID-COMBO-241-FROZEN-CREAM","Solid Combo 241 Frozen Cream","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-SOLID-COMBO-241-FROZEN-CREAM.png","Marca","","0","0"
"simple","CERA-SOLID-COMBO-241-MAGIC-CREAM","Solid Combo 241 Magic Cream","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-SOLID-COMBO-241-MAGIC-CREAM.png","Marca","","0","0"
"simple","CERA-SOLID-COMBO-241-PAPAYA-CREAM","Solid Combo 241 Papaya Cream","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-SOLID-COMBO-241-PAPAYA-CREAM.png","Marca","","0","0"
"simple","CERA-SOLID-COMBO-241-SINTRA-CREAM","Solid Combo 241 Sintra Cream","1","visible","11.95","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-SOLID-COMBO-241-SINTRA-CREAM.png","Marca","","0","0"
"simple","CERA-SOLIDOS-BY-SOLID-COMBO","Sólidos by Solid Combo","1","visible","5.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-SOLIDOS-BY-SOLID-COMBO.png","Marca","","0","0"
"simple","CERA-SONIC","SONIC","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-SONIC.png","Marca","","0","0"
"simple","CERA-SPIKE","SPIKE","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-SPIKE.png","Marca","","0","0"
"simple","CERA-TIRONE","TIRONE","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-TIRONE.png","Marca","","0","0"
"simple","CERA-VOID","VOID","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-VOID.png","Marca","","0","0"
"simple","CERA-WAVE","WAVE","1","visible","8.50","Ceras","1","0","https://spray-nova.vercel.app/data/images/ceras/CERA-WAVE.png","Marca","","0","0"
